ID,fullName,lastName,firstName,patronymic,wikiLink,birthDate,deathDate
11,Аліков Юрій Іванович,Аліков,Юрій,Іванович,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D1%96%D0%BA%D0%BE%D0%B2_%D0%AE%D1%80%D1%96%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
12,Альперін Юхим Йосипович,Альперін,Юхим,Йосипович,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%BF%D0%B5%D1%80%D1%96%D0%BD_%D0%AE%D1%85%D0%B8%D0%BC_%D0%99%D0%BE%D1%81%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87,,
13,Ананко Юрій Олександрович,Ананко,Юрій,Олександрович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D0%BD%D0%BA%D0%BE_%D0%AE%D1%80%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
14,Ангелюк Олесь Антонович,Ангелюк,Олесь,Антонович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D1%8E%D0%BA_%D0%9E%D0%BB%D0%B5%D1%81%D1%8C_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
15,Андрейчикова Олена Анатоліївна,Андрейчикова,Олена,Анатоліївна,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9%D1%87%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BD%D0%B0_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0,,
16,Андрійчук Михайло Миколайович,Андрійчук,Михайло,Миколайович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9%D1%87%D1%83%D0%BA_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
17,Андріяшик Роман Васильович,Андріяшик,Роман,Васильович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%96%D1%8F%D1%88%D0%B8%D0%BA_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87,,
18,Андрос Олег Євгенійович,Андрос,Олег,Євгенійович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%BE%D1%81_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
19,Андрощук Іван Кузьмович,Андрощук,Іван,Кузьмович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%BE%D1%89%D1%83%D0%BA_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,,
20,Андрусяк Богдан Олексійович,Андрусяк,Богдан,Олексійович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%81%D1%8F%D0%BA_%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
21,Андрусяк Іван Михайлович,Андрусяк,Іван,Михайлович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%81%D1%8F%D0%BA_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,,
22,Андрусяк Михайло Миколайович,Андрусяк,Михайло,Миколайович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%81%D1%8F%D0%BA_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
23,Андрухович Юрій Ігорович,Андрухович,Юрій,Ігорович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%85%D0%BE%D0%B2%D0%B8%D1%87_%D0%AE%D1%80%D1%96%D0%B9_%D0%86%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
24,Андрушків Богдан Миколайович,Андрушків,Богдан,Миколайович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%88%D0%BA%D1%96%D0%B2_%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
25,Андрушко Володимир Васильович,Андрушко,Володимир,Васильович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%88%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87,,
26,Андрущенко Володимир Петрович,Андрущенко,Володимир,Петрович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
27,Андрущенко Юрій Васильович,Андрущенко,Юрій,Васильович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%AE%D1%80%D1%96%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87,,
28,Анищенко Калістрат Романович,Анищенко,Калістрат,Романович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B8%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9A%D0%B0%D0%BB%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%82_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
29,Волинська Анна Олексіївна,Волинська,Анна,Олексіївна,https://uk.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%90%D0%BD%D0%BD%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D1%97%D0%B2%D0%BD%D0%B0,,
30,Антип Петро Іванович,Антип,Петро,Іванович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%BF_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
31,Антипенко Іван Якович,Антипенко,Іван,Якович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%BF%D0%B5%D0%BD%D0%BA%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD_%D0%AF%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,,
32,Антоненко Анатолій Олексійович,Антоненко,Анатолій,Олексійович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
33,Антоненко-Давидович Борис Дмитрович,Антоненко-Давидович,Борис,Дмитрович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE-%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
34,Богдан-Ігор Антонич,Богдан-Ігор,Антонич,,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD-%D0%86%D0%B3%D0%BE%D1%80_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B8%D1%87,,
35,Антонович Роман Миколайович,Антонович,Роман,Миколайович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
36,Антонович-Гординський Ярослав Дмитрович,Антонович-Гординський,Ярослав,Дмитрович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87-%D0%93%D0%BE%D1%80%D0%B4%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
37,Антощак Микола Володимирович,Антощак,Микола,Володимирович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D1%89%D0%B0%D0%BA_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
38,Апальков Олександр Володимирович,Апальков,Олександр,Володимирович,https://uk.wikipedia.org/wiki/%D0%90%D0%BF%D0%B0%D0%BB%D1%8C%D0%BA%D0%BE%D0%B2_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
39,Арабажин Костянтин Іванович,Арабажин,Костянтин,Іванович,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D0%B0%D0%B1%D0%B0%D0%B6%D0%B8%D0%BD_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
40,Іван Ардан,Іван,Ардан,,https://uk.wikipedia.org/wiki/%D0%86%D0%B2%D0%B0%D0%BD_%D0%90%D1%80%D0%B4%D0%B0%D0%BD,,
41,Аркас Микола Миколайович (старший),Аркас,Микола,Миколайович,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D0%BA%D0%B0%D1%81_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87_(%D1%81%D1%82%D0%B0%D1%80%D1%88%D0%B8%D0%B9),,
42,Аронець Мирослав Михайлович,Аронець,Мирослав,Михайлович,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D0%BE%D0%BD%D0%B5%D1%86%D1%8C_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,,
43,Аронов Гелій Юхимович,Аронов,Гелій,Юхимович,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D0%BE%D0%BD%D0%BE%D0%B2_%D0%93%D0%B5%D0%BB%D1%96%D0%B9_%D0%AE%D1%85%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,,
44,Аронський Мойсей Аронович,Аронський,Мойсей,Аронович,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D0%BE%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%BE%D0%B9%D1%81%D0%B5%D0%B9_%D0%90%D1%80%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
45,Артем Бебик,Артем,Бебик,,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D0%B5%D0%BC_%D0%91%D0%B5%D0%B1%D0%B8%D0%BA,,
46,Асєєв Станіслав Володимирович,Асєєв,Станіслав,Володимирович,https://uk.wikipedia.org/wiki/%D0%90%D1%81%D1%94%D1%94%D0%B2_%D0%A1%D1%82%D0%B0%D0%BD%D1%96%D1%81%D0%BB%D0%B0%D0%B2_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
47,Атаманчук Микола Олександрович,Атаманчук,Микола,Олександрович,https://uk.wikipedia.org/wiki/%D0%90%D1%82%D0%B0%D0%BC%D0%B0%D0%BD%D1%87%D1%83%D0%BA_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
48,Атаманюк Василь Іванович,Атаманюк,Василь,Іванович,https://uk.wikipedia.org/wiki/%D0%90%D1%82%D0%B0%D0%BC%D0%B0%D0%BD%D1%8E%D0%BA_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
49,Атаманюк Іван Петрович,Атаманюк,Іван,Петрович,https://uk.wikipedia.org/wiki/%D0%90%D1%82%D0%B0%D0%BC%D0%B0%D0%BD%D1%8E%D0%BA_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
50,Атаманюк Михайло Іванович,Атаманюк,Михайло,Іванович,https://uk.wikipedia.org/wiki/%D0%90%D1%82%D0%B0%D0%BC%D0%B0%D0%BD%D1%8E%D0%BA_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
51,Афанасьєв-Чужбинський Олександр Степанович,Афанасьєв-Чужбинський,Олександр,Степанович,https://uk.wikipedia.org/wiki/%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D1%94%D0%B2-%D0%A7%D1%83%D0%B6%D0%B1%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
52,Бабаков Сергій Денисович,Бабаков,Сергій,Денисович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%B0%D0%BA%D0%BE%D0%B2_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%94%D0%B5%D0%BD%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87,,
53,Бабенко Григорій Олександрович,Бабенко,Григорій,Олександрович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%B5%D0%BD%D0%BA%D0%BE_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
54,Бабій Василь Іванович,Бабій,Василь,Іванович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D1%96%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
55,Бабляк Володимир Самійлович,Бабляк,Володимир,Самійлович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%BB%D1%8F%D0%BA_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A1%D0%B0%D0%BC%D1%96%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,,
56,Бабух Василь Іванович,Бабух,Василь,Іванович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D1%83%D1%85_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
57,Багмет Андрій Євгенович,Багмет,Андрій,Євгенович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B3%D0%BC%D0%B5%D1%82_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
58,Багмут Іван Адріанович,Багмут,Іван,Адріанович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B3%D0%BC%D1%83%D1%82_%D0%86%D0%B2%D0%B0%D0%BD_%D0%90%D0%B4%D1%80%D1%96%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
59,Бажан Микола Платонович,Бажан,Микола,Платонович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B6%D0%B0%D0%BD_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9F%D0%BB%D0%B0%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
60,Бажанський Іван Миколайович,Бажанський,Іван,Миколайович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B6%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
61,Базар Михайло Миколайович,Базар,Михайло,Миколайович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B7%D0%B0%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
62,Базилевський Володимир Олександрович,Базилевський,Володимир,Олександрович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B7%D0%B8%D0%BB%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
63,Байдак Іван Степанович,Байдак,Іван,Степанович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B9%D0%B4%D0%B0%D0%BA_%D0%86%D0%B2%D0%B0%D0%BD_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
64,Байдебура Павло Андрійович,Байдебура,Павло,Андрійович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B9%D0%B4%D0%B5%D0%B1%D1%83%D1%80%D0%B0_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
65,Бакуменко Данило Олександрович,Бакуменко,Данило,Олександрович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE_%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
66,Бакуменко Олександр Данилович,Бакуменко,Олександр,Данилович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,,
67,Балей Петро Несторович,Балей,Петро,Несторович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%B5%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%9D%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
68,Балема Ростислав Миколайович,Балема,Ростислав,Миколайович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%B5%D0%BC%D0%B0_%D0%A0%D0%BE%D1%81%D1%82%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
69,Балецький Еміль Дмитрович,Балецький,Еміль,Дмитрович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%B5%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%95%D0%BC%D1%96%D0%BB%D1%8C_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
70,Балла Ласло Карлович,Балла,Ласло,Карлович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%BB%D0%B0_%D0%9B%D0%B0%D1%81%D0%BB%D0%BE_%D0%9A%D0%B0%D1%80%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,,
71,Банах Павло Ілліч,Банах,Павло,Ілліч,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B0%D1%85_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%86%D0%BB%D0%BB%D1%96%D1%87,,
72,Бандрівський Дмитро Григорович,Бандрівський,Дмитро,Григорович,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B4%D1%80%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
